Time [s],Plantarflexion(+)/dorsiflexion(-),Supination(-)/pronation(+)
3.75,-12.074921980334757,-5.492358173136152
3.8,-9.415309981445763,-6.158007869941413
3.85,-6.9961590240637666,-8.103081980966776
3.9,-4.791970563913344,-11.315457040518636
3.95,-2.5198182039284927,-14.483233807653278
4.0,0.6844152132165567,-18.548101457919596
4.05,2.9343053767353573,-18.455944645973375
4.1,2.679968670729579,-13.974321716065246
4.15,-0.5311192598171831,-8.148904822531476
4.2,-2.4037383571672257,0.5162961453165428
4.25,-5.445320034230125,5.940311506888843
4.3,-4.709860837491902,9.12789538509071
4.35,-3.4735175043320328,9.360021224884763
4.4,-3.02097520160308,9.969005140834945
4.45,-2.820069460100424,10.46937399458711
4.5,-2.6510605527437834,10.72540919202177
4.55,-2.5366176841842494,11.24498195273981
4.6,-2.5633496216612763,11.86359384755431
4.65,-2.778869674422332,12.273326229173982
4.7,-3.1131559529995148,12.452815998736703
4.75,-3.2930986247791627,12.710994944145611
4.8,-3.25234012007223,12.875930625988675
4.85,-3.254220374217088,12.873075926066447
4.9,-3.3008336658002944,12.84697840215622
4.95,-3.3773867880000967,12.739171882890968
5.0,-3.192346636074369,12.39824374536344
5.05,-2.782380830100936,11.985275598255459
5.1,-2.2296268389054443,11.464667690387625
5.15,-1.5302017120318736,10.86464152320152
5.2,-0.8565805713264395,10.228366500335488
5.25,-0.28315799990637425,9.618355293163296
5.3,0.14089952876829456,9.025605558072732
5.35,0.42023390136109806,8.402020357795493
5.4,0.5644425002826555,7.983433927152578
5.45,0.6672311467430541,7.699796703549625
5.5,0.6365131806363502,7.428792196797876
5.55,0.6027765736073705,7.0717011235444645
5.6,0.6998396139937612,6.4149372304134324
5.65,1.0709247852582857,5.708888256341193
5.7,1.6689197785157126,5.056594812417642
5.75,2.417730139911181,4.496857888324554
5.8,3.254896859981198,4.159070515559821
5.85,4.007817901949183,3.9487912168696164
5.9,4.618278447198794,3.8531821027441926
5.95,5.052573771893835,3.9375394638144816
6.0,5.2788392611567625,4.235345932230546
6.05,4.917078506877521,4.756295024608088
6.1,3.7847503836028378,5.530195834733809
6.15,2.054082439443362,6.5085009745774105
6.2,-0.24335179620552447,7.762944639939595
6.25,-2.855873251381913,9.330715596066446
6.3,-5.4883191769369875,10.79148502404105
6.35,-7.420324282136933,11.924568651375411
6.4,-8.579426784493181,12.94180566535063
6.45,-8.896203022187873,13.774136702466253
6.5,-8.9002260400448,14.390613353044982
